book,method,score,,
cse , system1.txt ,20.78,,
cse , system2.txt ,20.49,,
cse , system3.txt ,20.2,,
cse , system4.txt ,1.31,,
ewb , system1.txt ,21.7,,
ewb , system2.txt ,2.6,,
ewb , system3.txt ,19.05,,
ewb , system4.txt ,20.49,,
gtd , system1.txt ,19.12,,
gtd , system2.txt ,19,,
gtd , system3.txt ,7.74,,
gtd , system4.txt ,17.91,,
gtg , system1.txt ,7.43,,
gtg , system2.txt ,14.52,,
gtg , system3.txt ,5.74,,
gtg , system4.txt ,5.76,,
hoi , system1.txt ,23.17,,
hoi , system2.txt ,14.21,,
human , system1.txt ,6.42,,
human , system2.txt ,21.32,,
human , system3.txt ,18.58,,
human , system4.txt ,19.49,,
poc , system1.txt ,19.27,,
poc , system2.txt ,2.56,,
poc , system3.txt ,18.3,,
poc , system4.txt ,5.69,,
pragma , system1.txt ,16.07,,
pragma , system2.txt ,5.14,,
pragma , system3.txt ,4.78,,
pragma , system4.txt ,2.59,,
strange , system1.txt ,19.19,,
strange , system2.txt ,20.89,,
strange , system3.txt ,4.82,,
strange , system4.txt ,18.27,,
twb , system1.txt ,18.66,,
twb , system2.txt ,7.18,,
twb , system3.txt ,1.76,,
twb , system4.txt ,18.13,,
wif , system1.txt ,19.06,,
wif , system2.txt ,5.2,,
wif , system3.txt ,1.71,,
wif , system4.txt ,5.43,,
system1 average,,17.35181818,,Lex Rank
system2 average,,12.10090909,,Baseline
system3 average,,10.268,,Full Text
system4 average,,11.507,,TextRank
