ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,EWB,SYSTEM1.TXT,0.45791,0.43633,0.44686,1
ROUGE-1,EWB,SYSTEM2.TXT,0.42582,0.57492,0.48926,1
ROUGE-1,EWB,SYSTEM3.TXT,0.93998,0.02926,0.05676,1
ROUGE-1,FREAK,SYSTEM2.TXT,0.56913,0.26076,0.35765,1
ROUGE-1,FREAK,SYSTEM1.TXT,0.65503,0.21795,0.32708,1
ROUGE-1,FREAK,SYSTEM3.TXT,0.56913,0.26076,0.35765,1
ROUGE-1,HOI,SYSTEM1.TXT,0.58333,0.03191,0.0605,1
ROUGE-1,HOI,SYSTEM2.TXT,0.625,0.03506,0.0664,1
ROUGE-1,CSE,SYSTEM2.TXT,0.49558,0.39905,0.44211,1
ROUGE-1,CSE,SYSTEM3.TXT,0.84366,0.03938,0.07525,1
ROUGE-1,CSE,SYSTEM1.TXT,0.535,0.33211,0.40982,1
ROUGE-1,POC,SYSTEM3.TXT,0.96389,0.05982,0.11266,1
ROUGE-1,POC,SYSTEM2.TXT,0.57772,0.45872,0.51139,1
ROUGE-1,POC,SYSTEM1.TXT,0.71677,0.45676,0.55796,1
ROUGE-1,WIF,SYSTEM3.TXT,0.95102,0.01522,0.02995,1
ROUGE-1,WIF,SYSTEM1.TXT,0.46019,0.52994,0.49261,1
ROUGE-1,WIF,SYSTEM2.TXT,0.45968,0.53619,0.495,1
ROUGE-1,GTD,SYSTEM1.TXT,0.67912,0.37751,0.48527,1
ROUGE-1,GTD,SYSTEM3.TXT,0.93686,0.03655,0.07035,1
ROUGE-1,GTD,SYSTEM2.TXT,0.55735,0.46158,0.50496,1
ROUGE-1,GTG,SYSTEM3.TXT,0.89694,0.02236,0.04363,1
ROUGE-1,GTG,SYSTEM1.TXT,0.45562,0.34413,0.39211,1
ROUGE-1,GTG,SYSTEM2.TXT,0.34467,0.4539,0.39182,1
ROUGE-1,HUMAN,SYSTEM2.TXT,0.64343,0.38015,0.47793,1
ROUGE-1,HUMAN,SYSTEM3.TXT,0.92762,0.02308,0.04504,1
ROUGE-1,HUMAN,SYSTEM1.TXT,0.64343,0.28865,0.39852,1
ROUGE-1,PRAGMA,SYSTEM1.TXT,0.67434,0.31992,0.43396,1
ROUGE-1,PRAGMA,SYSTEM2.TXT,0.60758,0.46601,0.52746,1
ROUGE-1,PRAGMA,SYSTEM3.TXT,0.98513,0.04249,0.08146,1
ROUGE-1,STRANGE,SYSTEM3.TXT,0.9226,0.01024,0.02025,1
ROUGE-1,STRANGE,SYSTEM2.TXT,0.45318,0.34359,0.39085,1
ROUGE-1,STRANGE,SYSTEM1.TXT,0.59551,0.3133,0.41059,1
ROUGE-1,TWB,SYSTEM1.TXT,0.61516,0.45771,0.52488,1
ROUGE-1,TWB,SYSTEM3.TXT,0.88633,0.14758,0.25302,1
ROUGE-1,TWB,SYSTEM2.TXT,0.62175,0.53976,0.57786,1
System1 Avg,,,0.589284167,0.342185,0.41168,
System2 Avg,,,0.531740833,0.409140833,0.4360575,
System3 Avg,,,0.893014545,0.062430909,0.104183636,
